index,time,dc,bytes
1067,2021-03-13 14:04:05,1127,1991.0
1068,2021-03-13 14:04:16,1127,1127.0
1069,2021-03-13 14:04:27,1127,1127.0
1070,2021-03-13 14:05:06,551,1127.0
1071,2021-03-13 14:05:17,551,551.0
1072,2021-03-13 14:05:27,551,551.0
1073,2021-03-13 14:06:01,450,450.0
1074,2021-03-13 14:06:11,450,450.0
1075,2021-03-13 14:06:22,450,450.0
1076,2021-03-13 14:07:02,416,450.0
1077,2021-03-13 14:07:13,416,416.0
1078,2021-03-13 14:07:24,416,416.0
1079,2021-03-13 14:07:57,420,420.0
1080,2021-03-13 14:08:08,420,420.0
1081,2021-03-13 14:08:59,446,446.0
1082,2021-03-13 14:09:10,446,446.0
1083,2021-03-13 14:09:21,446,446.0
1084,2021-03-13 14:09:59,462,446.0
1085,2021-03-13 14:10:10,462,462.0
1086,2021-03-13 14:10:21,462,462.0
1087,2021-03-13 14:11:00,510,462.0
1088,2021-03-13 14:11:12,510,510.0
1089,2021-03-13 14:11:23,510,510.0
1090,2021-03-13 14:12:02,1873,1873.0
1091,2021-03-13 14:12:12,1873,1873.0
1092,2021-03-13 14:12:23,1873,1873.0
1093,2021-03-13 14:13:03,657,1873.0
1094,2021-03-13 14:13:14,657,657.0
1095,2021-03-13 14:13:25,657,657.0
1096,2021-03-13 14:13:58,1776,1776.0
1097,2021-03-13 14:14:08,1776,1776.0
1098,2021-03-13 14:14:19,1776,1776.0
1099,2021-03-13 14:14:59,450,1776.0
1100,2021-03-13 14:15:10,450,450.0
1101,2021-03-13 14:15:22,450,450.0
1102,2021-03-13 14:16:59,1867,291.0
1103,2021-03-13 14:17:10,1867,1867.0
1104,2021-03-13 14:17:21,1867,1867.0
1105,2021-03-13 14:17:55,1544,1867.0
1106,2021-03-13 14:18:06,1544,1544.0
1107,2021-03-13 14:18:17,1544,1544.0
1108,2021-03-13 14:18:56,1663,1544.0
1109,2021-03-13 14:19:08,1663,1663.0
1110,2021-03-13 14:19:19,1663,1663.0
1111,2021-03-13 14:19:58,479,479.0
1112,2021-03-13 14:20:09,479,479.0
1113,2021-03-13 14:20:19,479,479.0
1114,2021-03-13 14:20:53,433,433.0
1115,2021-03-13 14:21:03,433,433.0
1116,2021-03-13 14:21:14,433,433.0
1117,2021-03-13 14:21:54,424,433.0
1118,2021-03-13 14:22:05,424,424.0
1119,2021-03-13 14:22:16,424,424.0
1120,2021-03-13 14:22:49,484,484.0
1121,2021-03-13 14:23:00,484,484.0
1122,2021-03-13 14:23:10,484,484.0
1123,2021-03-13 14:23:50,757,484.0
1124,2021-03-13 14:24:01,757,757.0
1125,2021-03-13 14:24:12,757,757.0
1126,2021-03-13 14:24:52,546,546.0
1127,2021-03-13 14:25:44,353,1867.0
1128,2021-03-13 14:25:55,353,353.0
1129,2021-03-13 14:26:06,353,353.0
1130,2021-03-13 14:26:48,312,353.0
1131,2021-03-13 14:26:59,312,312.0
1132,2021-03-13 14:27:10,312,312.0
1133,2021-03-13 14:27:43,503,312.0
1134,2021-03-13 14:27:54,503,503.0
1135,2021-03-13 14:28:05,503,503.0
1136,2021-03-13 14:28:38,478,503.0
1137,2021-03-13 14:28:49,478,478.0
1138,2021-03-13 14:29:00,478,478.0
1139,2021-03-13 14:29:39,462,478.0
1140,2021-03-13 14:29:50,462,462.0
1141,2021-03-13 14:30:01,462,462.0
1142,2021-03-13 14:30:36,472,472.0
1143,2021-03-13 14:32:20,229,229.0
1144,2021-03-13 14:37:10,1333,229.0
1145,2021-03-13 14:37:53,775,775.0
1146,2021-03-13 14:38:03,775,775.0
1147,2021-03-13 14:38:14,775,775.0
1148,2021-03-13 14:38:47,1426,775.0
1149,2021-03-13 14:38:58,1426,1426.0
1150,2021-03-13 14:39:09,1426,1426.0
1151,2021-03-13 14:39:42,927,1426.0
1152,2021-03-13 14:39:53,927,927.0
1153,2021-03-13 14:40:04,927,927.0
1154,2021-03-13 14:40:44,484,484.0
1155,2021-03-13 14:40:55,484,484.0
1156,2021-03-13 14:41:06,484,484.0
1157,2021-03-13 14:41:40,514,514.0
1158,2021-03-13 14:41:51,514,514.0
1159,2021-03-13 14:42:02,514,514.0
1160,2021-03-13 14:42:41,862,514.0
1161,2021-03-13 14:42:52,862,862.0
1162,2021-03-13 14:43:03,862,862.0
1163,2021-03-13 14:43:36,1468,1468.0
1164,2021-03-13 14:43:47,1468,1468.0
1165,2021-03-13 14:43:57,1468,1468.0
1166,2021-03-13 14:44:37,420,1468.0
1167,2021-03-13 14:44:48,420,420.0
1168,2021-03-13 14:44:59,420,420.0
1169,2021-03-13 14:45:38,416,420.0
1170,2021-03-13 14:45:49,416,416.0
1171,2021-03-13 14:46:00,416,416.0
1172,2021-03-13 14:46:33,449,416.0
1173,2021-03-13 14:46:44,449,449.0
1174,2021-03-13 14:46:55,449,449.0
1175,2021-03-13 14:47:28,403,449.0
1176,2021-03-13 14:47:39,403,403.0
1177,2021-03-13 14:47:50,403,403.0
1178,2021-03-13 14:48:30,332,332.0
1179,2021-03-13 14:48:41,332,332.0
1180,2021-03-13 14:48:52,332,332.0
1181,2021-03-13 14:49:31,273,332.0
1182,2021-03-13 14:49:42,273,273.0
1183,2021-03-13 14:49:53,273,273.0
1184,2021-03-13 14:50:32,339,273.0
1185,2021-03-13 14:50:43,339,339.0
1186,2021-03-13 14:50:54,339,339.0
1187,2021-03-13 14:51:27,399,339.0
1188,2021-03-13 14:51:38,399,399.0
1189,2021-03-13 14:51:49,399,399.0
1190,2021-03-13 14:52:29,448,448.0
1191,2021-03-13 14:52:40,448,448.0
1192,2021-03-13 14:52:51,448,448.0
1193,2021-03-13 14:53:24,318,448.0
1194,2021-03-13 14:53:35,318,318.0
1195,2021-03-13 14:53:46,318,318.0
1196,2021-03-13 14:54:25,357,318.0
1197,2021-03-13 14:54:37,357,357.0
1198,2021-03-13 14:54:48,357,357.0
1199,2021-03-13 14:55:21,450,357.0
1200,2021-03-13 14:55:32,450,450.0
1201,2021-03-13 14:55:43,450,450.0
1202,2021-03-13 14:56:22,339,450.0
1203,2021-03-13 14:56:33,339,339.0
1204,2021-03-13 14:56:44,339,339.0
1205,2021-03-13 14:57:17,299,339.0
1206,2021-03-13 14:57:28,299,299.0
1207,2021-03-13 14:57:39,299,299.0
